gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup,ChargesRatio
0,0,1,1,59,1,0,1,0,1,0,0,0,1,1,76.45,4519.5,0,1,0,0,1,4-5 years,58.35377663008392
0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,51.2,51.2,0,0,0,0,1,0-1 year,0.9808429118773946
0,0,1,1,71,1,0,1,0,0,0,0,1,1,0,71.1,5224.95,0,1,0,0,1,5+ years,72.46809986130374
0,0,0,0,13,1,1,0,0,0,0,0,0,0,0,19.45,232.1,0,0,1,0,0,1-2 years,11.34963325183374
0,0,1,1,72,1,0,1,0,0,1,0,1,1,0,66.75,4760.3,0,1,1,0,0,5+ years,70.26273062730628
1,0,0,0,43,1,1,2,0,0,0,0,1,1,1,90.65,3882.3,1,0,1,0,0,2-4 years,42.36006546644845
1,0,0,1,13,1,1,2,1,1,1,1,0,1,1,78.3,1033.95,0,0,1,0,0,1-2 years,13.03846153846154
0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,19.65,19.65,0,0,0,0,1,0-1 year,0.9515738498789347
1,0,0,1,12,1,1,0,0,0,0,0,0,0,0,21.05,235.8,0,0,1,0,0,0-1 year,10.693877551020408
0,0,0,0,48,1,0,0,0,0,0,0,0,0,0,25.05,1171.5,1,0,1,0,0,2-4 years,44.97120921305182
1,0,1,0,67,1,0,1,0,0,0,0,1,1,0,70.9,4677.1,0,1,1,0,0,5+ years,65.0500695410292
1,0,1,0,30,1,1,0,0,0,0,0,0,0,0,19.8,576.65,1,0,1,0,0,2-4 years,27.72355769230769
1,0,1,0,27,1,1,1,0,1,1,1,1,1,0,48.7,1421.75,1,0,1,0,0,2-4 years,28.606639839034205
1,0,1,1,17,1,0,1,0,1,0,1,0,1,1,70.35,1201.65,1,0,0,0,0,1-2 years,16.841625788367207
0,0,1,1,36,1,1,1,0,1,1,1,1,1,0,51.05,1815.0,0,0,1,0,0,2-4 years,34.87031700288185
0,0,1,1,70,1,0,1,0,1,1,1,1,0,0,65.2,4543.15,1,0,0,0,0,5+ years,68.62764350453172
1,0,0,0,66,1,1,1,0,0,1,1,1,1,1,54.8,3465.7,1,0,0,0,1,5+ years,62.10931899641577
0,0,0,0,38,1,0,1,0,0,0,1,0,0,0,84.1,3187.65,1,0,0,0,0,2-4 years,37.45769682726205
1,0,0,0,44,1,0,1,1,0,0,0,0,0,1,85.25,3704.15,1,0,0,0,0,2-4 years,42.946666666666665
1,0,1,1,56,1,0,0,0,0,0,0,0,0,0,24.15,1402.25,0,1,0,0,0,4-5 years,55.75546719681909
0,0,0,0,15,1,1,0,0,0,0,0,0,0,0,20.1,302.45,1,0,1,0,0,1-2 years,14.334123222748813
0,0,1,0,67,1,1,0,0,0,0,0,0,0,0,19.65,1335.2,0,1,0,0,1,5+ years,64.6585956416465
0,0,0,0,63,1,0,2,0,0,0,1,0,0,0,108.25,6780.1,0,0,1,0,0,5+ years,62.06041189931351
1,0,1,0,70,1,0,1,0,0,0,0,0,1,0,79.4,5528.9,1,0,0,0,0,5+ years,68.76741293532338
0,0,1,0,64,1,0,0,0,0,0,0,0,0,0,25.0,1584.8,0,1,1,0,0,5+ years,60.95384615384615
0,0,0,1,49,1,1,0,0,0,0,0,0,0,0,19.45,921.3,1,0,1,0,0,4-5 years,45.05134474327628
0,0,0,0,12,1,1,2,0,1,1,1,0,1,1,85.15,979.05,1,0,1,0,0,0-1 year,11.36448055716773
0,0,0,0,5,1,1,2,1,0,1,1,0,1,1,85.3,420.45,0,0,0,0,1,0-1 year,4.871958285052144
0,0,1,1,72,1,0,1,0,1,0,0,0,0,0,84.7,5893.9,0,1,1,0,0,5+ years,68.77362893815635
0,0,0,0,58,1,0,0,0,0,0,0,0,0,0,24.35,1423.85,0,1,1,0,0,4-5 years,56.16765285996055
1,0,0,0,24,1,1,1,1,1,1,0,1,1,1,51.1,1269.6,0,0,1,0,0,1-2 years,24.368522072936656
1,0,0,0,21,1,0,2,1,1,1,1,1,1,0,75.3,1570.7,0,0,0,0,1,1-2 years,20.58584534731324
0,0,1,1,69,1,0,1,0,1,1,0,1,1,0,61.4,4059.85,0,1,1,0,0,5+ years,65.06169871794872
1,0,0,0,1,1,1,2,1,1,1,0,1,1,1,74.3,74.3,0,0,0,0,1,0-1 year,0.9867197875166003
0,0,0,0,63,1,0,0,0,0,0,0,0,0,0,24.2,1618.2,0,1,0,0,1,5+ years,64.21428571428572
1,0,1,1,23,1,1,0,0,0,0,0,0,0,0,19.6,426.65,0,1,1,0,0,1-2 years,20.711165048543688
1,0,0,0,11,1,1,0,0,0,0,0,0,0,0,19.55,223.15,0,1,1,0,0,0-1 year,10.858880778588807
0,0,1,0,71,1,0,1,0,0,0,0,0,0,0,87.95,6365.35,0,1,0,0,0,5+ years,71.5609893198426
1,0,0,1,6,1,1,0,0,0,0,0,0,0,0,19.65,100.9,0,0,0,0,1,0-1 year,4.886198547215497
0,0,0,0,30,1,1,1,0,0,1,1,1,1,1,55.3,1530.6,0,0,0,0,0,2-4 years,27.186500888099467
0,0,1,1,19,1,0,2,1,1,1,0,1,0,1,89.35,1686.85,1,0,0,0,0,1-2 years,18.670171555063643
0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,19.5,27.55,0,0,0,0,1,0-1 year,1.3439024390243903
1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,45.8,45.8,0,0,0,0,1,0-1 year,0.9786324786324786
1,0,0,0,57,1,0,2,1,1,1,0,0,1,1,90.45,5229.8,0,1,1,0,0,4-5 years,57.187534171678514
1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,20.7,73.05,0,0,0,0,1,0-1 year,3.366359447004608
1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,19.95,68.2,1,0,0,0,1,0-1 year,3.2553699284009547
0,0,1,0,46,1,1,1,0,0,1,0,1,0,0,70.6,3231.05,1,0,0,0,1,2-4 years,45.1263966480447
1,0,1,1,60,1,1,0,0,0,0,0,0,0,1,20.95,1270.55,0,1,0,0,0,4-5 years,57.88382687927107
1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,49.8,49.8,0,0,1,0,0,0-1 year,0.9803149606299213
1,0,1,0,70,1,0,2,0,0,0,1,0,1,1,99.35,6944.5,0,1,1,0,0,5+ years,69.20279023418037
0,0,1,1,24,1,0,0,0,0,0,0,0,0,0,24.7,571.75,0,1,0,0,1,1-2 years,22.247081712062258
0,0,0,0,25,1,1,0,0,0,0,0,0,0,0,19.05,461.3,0,0,0,0,1,2-4 years,23.007481296758105
1,0,0,0,9,1,1,1,0,1,0,0,1,0,1,68.25,576.95,0,0,0,0,0,0-1 year,8.331407942238268
1,0,1,0,70,1,1,1,0,0,0,0,1,1,0,64.95,4523.25,0,1,1,0,0,5+ years,68.5860500379075
0,0,1,1,72,1,1,1,0,0,0,1,1,0,0,68.75,4888.2,0,1,1,0,0,5+ years,70.08172043010752
1,0,1,1,67,1,0,2,1,0,0,0,0,0,1,111.2,7530.8,0,1,0,0,0,5+ years,67.11942959001783
1,0,1,1,24,1,0,0,0,0,0,0,0,0,0,24.2,609.05,0,1,0,0,1,1-2 years,24.16865079365079
1,0,1,1,72,1,0,1,0,1,0,0,0,0,1,83.55,6093.3,0,1,1,0,0,5+ years,72.06741573033709
0,0,0,0,51,1,1,2,1,1,1,1,0,0,0,87.55,4475.9,1,0,1,0,0,4-5 years,50.546583850931675
1,0,0,0,4,1,1,0,0,0,0,0,0,0,1,19.95,59.25,0,0,0,0,1,0-1 year,2.828162291169451
1,0,0,0,7,1,1,2,0,1,1,1,1,1,0,74.35,533.6,0,0,0,0,1,0-1 year,7.081619110816192
1,0,1,0,32,1,0,2,1,0,1,1,0,0,1,98.85,3145.9,0,0,1,0,0,2-4 years,31.506259389083628
0,0,0,0,23,1,1,1,1,0,0,1,1,1,0,55.8,1327.85,1,0,0,0,0,1-2 years,23.377640845070424
1,0,0,0,20,1,1,0,0,0,0,0,0,0,1,19.7,415.9,1,0,0,0,1,1-2 years,20.091787439613526
0,0,1,1,3,1,1,1,1,0,1,1,0,1,1,58.7,168.6,0,0,1,0,0,0-1 year,2.824120603015075
1,0,1,1,44,1,1,1,1,0,0,0,1,1,1,61.9,2924.05,0,0,0,0,1,2-4 years,46.48728139904611
1,0,1,1,44,1,1,2,1,1,0,1,0,0,1,92.95,4122.9,0,0,0,0,0,2-4 years,43.8839808408728
1,0,1,1,17,1,0,0,0,0,0,0,0,0,1,25.15,412.6,0,1,0,0,1,1-2 years,15.778202676864247
0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,20.7,39.85,0,0,0,0,0,0-1 year,1.8364055299539173
1,0,1,0,1,1,1,2,1,1,0,1,1,1,0,75.35,75.35,0,0,1,0,0,0-1 year,0.9869024230517355
0,0,0,0,24,1,0,2,1,1,0,1,0,1,1,88.95,2072.75,0,0,1,0,0,1-2 years,23.043357420789327
0,0,1,0,26,1,0,1,0,0,0,0,0,0,1,90.1,2312.55,1,0,1,0,0,2-4 years,25.384742041712407
1,0,0,0,41,1,0,1,1,1,0,1,1,0,0,65.0,2531.8,1,0,0,0,1,2-4 years,38.36060606060607
0,0,1,0,10,1,1,0,0,0,0,0,0,0,1,20.55,252.75,0,0,0,0,1,0-1 year,11.728538283062644
1,0,0,0,72,1,0,1,1,0,0,0,0,0,1,88.6,6201.95,0,1,0,0,0,5+ years,69.21819196428572
0,0,1,0,40,1,1,0,0,0,0,0,0,0,0,19.1,780.1,0,1,0,0,1,2-4 years,38.81094527363184
0,0,1,1,72,1,0,2,0,0,1,0,1,1,1,90.35,6563.4,0,1,0,0,0,5+ years,71.84893267651888
1,0,0,0,44,1,1,0,0,0,0,0,0,0,0,20.05,845.25,0,1,0,0,1,2-4 years,40.15439429928741
0,0,1,1,72,1,0,2,1,0,0,0,0,0,1,109.2,7711.45,0,1,0,0,0,5+ years,69.97686025408348
1,0,1,0,38,1,0,2,0,1,1,1,0,1,0,91.7,3479.05,0,0,0,0,0,2-4 years,37.5302049622438
0,0,1,0,32,1,1,0,0,0,0,0,0,0,0,19.3,593.2,1,0,0,0,1,2-4 years,29.221674876847292
0,0,0,0,31,1,1,0,0,0,0,0,0,0,0,20.9,689.35,0,1,1,0,0,2-4 years,31.47716894977169
1,0,1,1,59,1,0,2,1,1,0,1,0,0,1,99.5,5861.75,0,1,1,0,0,4-5 years,58.32587064676617
0,0,0,1,19,1,0,1,0,0,1,0,0,1,1,75.9,1375.6,0,0,0,0,1,1-2 years,17.888166449934978
0,0,1,1,30,1,1,0,0,0,0,0,0,0,0,19.7,599.25,0,1,0,0,1,2-4 years,28.94927536231884
1,0,0,1,25,1,1,0,0,0,0,0,0,0,0,20.8,460.2,0,0,0,0,1,2-4 years,21.110091743119266
1,0,1,0,44,1,1,2,1,1,1,1,0,0,1,90.65,3974.15,1,0,0,0,0,2-4 years,43.36224768139662
1,0,1,0,68,1,0,0,0,0,0,0,0,0,0,25.05,1629.2,0,1,1,0,0,5+ years,62.54126679462572
0,0,1,1,62,1,1,1,0,1,0,0,0,1,1,70.75,4263.45,1,0,0,0,0,5+ years,59.42090592334495
0,0,0,0,27,1,1,0,0,0,0,0,0,0,0,19.15,501.35,1,0,0,0,1,2-4 years,24.880893300248143
1,0,1,1,32,1,1,0,0,0,0,0,0,0,0,18.95,613.95,0,1,0,0,1,2-4 years,30.774436090225567
0,0,1,1,37,1,0,0,0,0,0,0,0,0,1,24.1,861.85,0,1,0,0,0,2-4 years,34.33665338645418
0,0,1,0,63,1,1,2,0,1,0,1,1,1,1,81.15,5224.5,1,0,1,0,0,5+ years,63.59707851491174
0,0,1,0,61,1,1,2,0,0,1,0,1,0,0,93.7,5860.7,1,0,0,0,0,5+ years,61.887011615628296
1,0,1,0,35,1,1,1,0,0,0,1,1,1,0,61.0,2130.45,0,0,0,0,1,2-4 years,34.362096774193546
0,0,0,0,20,1,1,0,0,0,0,0,0,0,1,19.5,413.0,0,0,0,0,0,1-2 years,20.146341463414632
1,0,1,1,34,1,1,0,0,0,0,0,0,0,0,19.6,678.8,1,0,1,0,0,2-4 years,32.95145631067961
1,0,0,0,17,1,1,1,0,0,1,1,1,1,0,56.1,946.95,1,0,0,0,1,1-2 years,16.584063047285465
0,0,0,0,26,1,1,2,1,1,1,1,1,1,1,69.05,1815.65,0,0,1,0,0,2-4 years,25.919343326195577
0,0,1,0,40,1,0,1,1,0,1,1,0,1,0,63.9,2635.0,1,0,0,0,0,2-4 years,40.60092449922958
1,0,0,0,29,1,1,0,0,0,0,0,0,0,0,19.1,529.5,1,0,0,0,1,2-4 years,26.34328358208955
0,0,1,0,46,1,1,1,1,0,1,0,0,1,1,64.2,3009.5,0,1,1,0,0,2-4 years,46.1579754601227
1,0,0,0,71,1,0,1,0,0,0,0,1,0,0,80.6,5708.2,0,1,0,0,0,5+ years,69.95343137254902
0,0,0,0,72,1,1,1,0,0,0,0,1,0,1,73.0,5265.2,0,1,1,0,0,5+ years,71.15135135135135
0,0,0,0,36,1,0,1,0,1,1,1,1,1,0,54.45,1893.5,1,0,0,0,1,2-4 years,34.14788097385031
0,0,1,0,67,1,0,2,1,0,0,1,0,0,1,105.7,6816.95,1,0,0,0,0,5+ years,63.88894095595126
1,0,1,0,72,1,0,2,1,0,0,1,0,0,1,106.3,7565.35,0,1,0,0,0,5+ years,70.50652376514446
0,0,1,0,70,1,1,0,0,0,0,0,0,0,0,19.85,1328.35,0,1,1,0,0,5+ years,63.709832134292554
0,0,1,0,37,1,0,1,1,0,1,0,1,0,0,72.1,2658.4,1,0,0,0,1,2-4 years,36.36662106703147
0,0,0,0,53,1,1,0,0,0,0,0,0,0,0,19.85,1049.6,0,1,1,0,0,4-5 years,50.34052757793764
0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,20.7,112.75,0,0,0,0,1,0-1 year,5.195852534562212
0,0,0,0,70,1,0,2,0,0,0,1,0,0,1,111.15,7737.55,0,1,0,0,1,5+ years,68.99286669638876
0,0,0,0,7,1,1,1,1,1,0,0,1,0,0,62.8,418.3,0,0,0,0,0,0-1 year,6.556426332288401
1,0,0,0,24,1,1,1,0,0,1,0,1,1,0,60.45,1440.75,0,0,0,0,0,1-2 years,23.445890968266884
0,0,0,0,36,1,0,2,1,0,0,1,0,0,1,104.8,3886.45,1,0,0,0,0,2-4 years,36.73393194706994
1,0,1,1,24,1,0,1,0,1,1,0,0,0,0,81.0,1923.85,0,0,0,0,0,1-2 years,23.461585365853658
0,0,1,0,69,1,1,2,0,0,1,0,0,0,1,106.4,7251.9,1,0,1,0,0,5+ years,67.52234636871508
1,0,0,1,19,1,1,0,0,0,0,0,0,0,0,20.85,467.5,0,1,1,0,0,1-2 years,21.395881006864986
